Profiles;Size;h(m);b(m);e.r(m);e1(m);r1(m);h1(m);A(m2);P(Kg/m);Iz(m4);Wz(m3);iz(m);Iy(m4);Wy(m3);iy(m);u(m2/m)
IPN;80;0.08;0.042;0.0039;0.0059;0.0023;0.059;0.000758;5.95;0.000000778;0.0000195;0.032;6.29E-08;0.000003;0.0091;0.304
IPN;100;0.1;0.05;0.0045;0.0068;0.0027;0.075;0.00106;8.32;0.00000171;0.0000342;0.0401;0.000000122;0.00000488;0.0107;0.37
IPN;120;0.12;0.058;0.0051;0.0077;0.0031;0.092;0.00142;11.1;0.00000328;0.0000547;0.0481;0.000000215;0.00000741;0.0123;0.439
IPN;140;0.14;0.066;0.0057;0.0086;0.0034;0.109;0.00183;14.4;0.00000573;0.0000819;0.0561;0.000000352;0.0000107;0.014;0.502
IPN;160;0.16;0.074;0.0063;0.0095;0.0038;0.125;0.00228;17.9;0.00000935;0.000117;0.064;0.000000547;0.0000148;0.0155;0.575
IPN;180;0.18;0.082;0.0069;0.0104;0.0041;0.142;0.00279;21.9;0.0000145;0.000161;0.072;0.000000813;0.0000198;0.0171;0.64
IPN;200;0.2;0.09;0.0075;0.0113;0.0045;0.159;0.00335;26.3;0.0000214;0.000214;0.08;0.00000117;0.000026;0.0187;0.709
IPN;220;0.22;0.098;0.0081;0.0122;0.0049;0.175;0.00396;31.1;0.0000306;0.000278;0.088;0.00000162;0.0000331;0.0202;0.775
IPN;240;0.24;0.106;0.0087;0.0131;0.0052;0.192;0.00461;36.2;0.0000425;0.000354;0.0959;0.00000221;0.0000417;0.022;0.844
IPN;260;0.26;0.113;0.0094;0.0141;0.0056;0.208;0.00534;41.9;0.0000574;0.000442;0.104;0.00000288;0.000051;0.0232;0.906
IPN;280;0.28;0.119;0.0101;0.0152;0.0061;0.225;0.00611;48;0.0000759;0.000542;0.111;0.00000364;0.0000612;0.0245;0.966
IPN;300;0.3;0.125;0.0108;0.0162;0.0065;0.241;0.00691;54.2;0.000098;0.000653;0.119;0.00000451;0.0000722;0.0256;1.03
IPN;320;0.32;0.131;0.0115;0.0173;0.0069;0.257;0.00778;61.1;0.0001251;0.000782;0.127;0.00000555;0.0000847;0.0267;1.091
IPN;340;0.34;0.137;0.0122;0.0183;0.0073;0.274;0.00868;68.1;0.000157;0.000923;0.135;0.00000674;0.0000984;0.028;1.152
IPN;360;0.36;0.143;0.013;0.0195;0.0078;0.29;0.00971;76.2;0.0001961;0.00109;0.142;0.00000818;0.000114;0.029;1.208
IPN;380;0.38;0.149;0.0137;0.0205;0.0082;0.306;0.0107;84;0.0002401;0.00126;0.15;0.00000975;0.000131;0.0302;1.266
IPN;400;0.4;0.155;0.0144;0.0216;0.0086;0.323;0.0118;92.6;0.0002921;0.00146;0.157;0.0000116;0.000149;0.0313;1.33
IPN;450;0.45;0.17;0.0162;0.0243;0.0097;0.363;0.0147;115;0.0004585;0.00204;0.177;0.0000173;0.000203;0.0343;1.478
IPN;500;0.5;0.185;0.018;0.027;0.0108;0.404;0.018;141;0.0006874;0.00275;0.196;0.0000248;0.000268;0.0372;1.626
IPN;550;0.55;0.2;0.019;0.03;0.0119;0.444;0.0213;167;0.0009918;0.00361;0.216;0.0000349;0.000349;0.0402;1.797
IPN;600;0.6;0.215;0.0216;0.0324;0.013;0.485;0.0254;199;0.00139;0.00463;0.234;0.0000467;0.000434;0.043;1.924
IPE;80;0.08;0.046;0.0038;0.0052;0.005;0.059;0.000764;6;0.000000801;0.00002;0.0324;8.49E-08;0.00000369;0.0105;0.328
IPE;100;0.1;0.055;0.0041;0.0057;0.007;0.074;0.00103;8.1;0.00000171;0.0000342;0.0407;0.000000159;0.00000579;0.0124;0.4
IPE;120;0.12;0.064;0.0044;0.0063;0.007;0.093;0.00132;10.4;0.00000318;0.000053;0.049;0.000000277;0.00000865;0.0145;0.475
IPE;140;0.14;0.073;0.0047;0.0069;0.007;0.112;0.00164;12.9;0.00000541;0.0000773;0.0574;0.000000449;0.0000123;0.0165;0.551
